Below are the match results.  Not all, but the majority we should review for now.
I was able to match:
Matching KWRI to URI: "http://opencoredata/id/resource/csdco/project/kwri"
Matching KYGS to URI: "http://opencoredata/id/resource/csdco/project/kygs"
Matching KYL to URI: ""
Matching Kerfoot-Brown to URI: ""
Matching LAB to URI: "http://opencoredata/id/resource/csdco/project/lab"
Matching LACSUC to URI: "http://opencoredata/id/resource/csdco/project/lacsuc"
Matching LAHI to URI: "http://opencoredata/id/resource/csdco/project/lahi"
Matching LASCOP to URI: "http://opencoredata/id/resource/csdco/project/lascop"
Matching LAUCA to URI: "http://opencoredata/id/resource/csdco/project/lauca"
Matching LAVO to URI: "http://opencoredata/id/resource/csdco/project/lavo"
Matching LBC to URI: "http://opencoredata/id/resource/csdco/project/lbc"
Matching LBY to URI: ""
Matching LCAN to URI: "http://opencoredata/id/resource/csdco/project/lcan"
Matching LCCMR to URI: "http://opencoredata/id/resource/csdco/project/lccmr"
Matching LD3 to URI: ""
Matching LDF to URI: "http://opencoredata/id/resource/csdco/project/ldf"
Matching LIAF to URI: ""
Matching LIBYA to URI: ""
Matching LK to URI: "http://opencoredata/id/resource/csdco/project/lk"
Matching LONG to URI: "http://opencoredata/id/resource/csdco/project/long"
Matching LOTC to URI: "http://opencoredata/id/resource/csdco/project/lotc"
Matching LOW to URI: "http://opencoredata/id/resource/csdco/project/low"
Matching LOWP to URI: "http://opencoredata/id/resource/csdco/project/lowp"
Matching LPAH to URI: "http://opencoredata/id/resource/csdco/project/lpah"
Matching LPL to URI: "http://opencoredata/id/resource/csdco/project/lpl"
Matching LRC to URI: ""
Matching LRM to URI: "http://opencoredata/id/resource/csdco/project/lrm"
Matching LRM to URI: "http://opencoredata/id/resource/csdco/project/lrm"
Matching LSC to URI: "http://opencoredata/id/resource/csdco/project/lsc"
Matching LW to URI: "http://opencoredata/id/resource/csdco/project/lw"
Matching LYMAN to URI: "http://opencoredata/id/resource/csdco/project/lyman"
Matching LacCore to URI: ""
Matching M to URI: ""
Matching MAC to URI: "http://opencoredata/id/resource/csdco/project/mac"
Matching MAINE to URI: "http://opencoredata/id/resource/csdco/project/maine"
Matching MANGO to URI: "http://opencoredata/id/resource/csdco/project/mango"
Matching MAR to URI: "http://opencoredata/id/resource/csdco/project/mar"
Matching MASH to URI: "http://opencoredata/id/resource/csdco/project/mash"
Matching MBC to URI: "http://opencoredata/id/resource/csdco/project/mbc"
Matching MBGLH to URI: "http://opencoredata/id/resource/csdco/project/mbglh"
Matching MBH to URI: ""
Matching MBM to URI: "http://opencoredata/id/resource/csdco/project/mbm"
Matching MCH to URI: "http://opencoredata/id/resource/csdco/project/mch"
Matching MCWD to URI: "http://opencoredata/id/resource/csdco/project/mcwd"
Matching MESWF to URI: ""
Matching MEXI to URI: ""
Matching MF to URI: "http://opencoredata/id/resource/csdco/project/mf"
Matching MGS to URI: "http://opencoredata/id/resource/csdco/project/mgs"
Matching MIDS to URI: ""
Matching MISSC to URI: "http://opencoredata/id/resource/csdco/project/missc"
Matching MIVS to URI: "http://opencoredata/id/resource/csdco/project/mivs"
Matching MKP to URI: "http://opencoredata/id/resource/csdco/project/mkp"
Matching MNCL to URI: "http://opencoredata/id/resource/csdco/project/mncl"
Matching MNMN to URI: "http://opencoredata/id/resource/csdco/project/mnmn"
Matching MNRF to URI: "http://opencoredata/id/resource/csdco/project/mnrf"
Matching MNVS to URI: "http://opencoredata/id/resource/csdco/project/mnvs"
Matching MNWET to URI: "http://opencoredata/id/resource/csdco/project/mnwet"
Matching MOLE to URI: "http://opencoredata/id/resource/csdco/project/mole"
Matching MOMOS to URI: "http://opencoredata/id/resource/csdco/project/momos"
Matching MONT to URI: "http://opencoredata/id/resource/csdco/project/mont"
Matching MS to URI: ""
Matching MS to URI: ""
Matching MSOCache to URI: ""
Matching MSPI to URI: "http://opencoredata/id/resource/csdco/project/mspi"
Matching MST to URI: "http://opencoredata/id/resource/csdco/project/mst"
Matching MTC to URI: ""
Matching MUROP to URI: ""
Matching MURP to URI: "http://opencoredata/id/resource/csdco/project/murp"
Matching MWL(Midwest to URI: ""
Matching Matano to URI: ""
Matching McFarland to URI: ""
Matching NAPALM to URI: "http://opencoredata/id/resource/csdco/project/napalm"
Matching ND11(Lake to URI: ""
Matching NDE to URI: ""
Matching NGDC to URI: ""
Matching NH to URI: "http://opencoredata/id/resource/csdco/project/nh"
Matching NHC to URI: ""
Matching NHPM to URI: "http://opencoredata/id/resource/csdco/project/nhpm"
Matching NIBI to URI: "http://opencoredata/id/resource/csdco/project/nibi"
Matching NICE to URI: "http://opencoredata/id/resource/csdco/project/nice"
Matching NLC to URI: ""
Matching NLSN to URI: "http://opencoredata/id/resource/csdco/project/nlsn"
Matching NOCA to URI: "http://opencoredata/id/resource/csdco/project/noca"
Matching NP04 to URI: "http://opencoredata/id/resource/csdco/project/np04"
Matching NRF to URI: "http://opencoredata/id/resource/csdco/project/nrf"
Matching NUNV to URI: "http://opencoredata/id/resource/csdco/project/nunv"
Matching NWG14 to URI: "http://opencoredata/id/resource/csdco/project/nwg14"
Matching NZ12 to URI: "http://opencoredata/id/resource/csdco/project/nz12"
Matching NZ13 to URI: "http://opencoredata/id/resource/csdco/project/nz13"
Matching OCR to URI: "http://opencoredata/id/resource/csdco/project/ocr"
Matching ODP to URI: "http://opencoredata/id/resource/csdco/project/odp"
Matching OGDP to URI: "http://opencoredata/id/resource/csdco/project/ogdp"
Matching OHIO to URI: "http://opencoredata/id/resource/csdco/project/ohio"
Matching OHPA to URI: ""
Matching OJB to URI: "http://opencoredata/id/resource/csdco/project/ojb"
Matching OMAA to URI: "http://opencoredata/id/resource/csdco/project/omaa"
Matching OPS to URI: "http://opencoredata/id/resource/csdco/project/ops"
Matching ORCA to URI: "http://opencoredata/id/resource/csdco/project/orca"
Matching ORDWAY to URI: "http://opencoredata/id/resource/csdco/project/ordway"
Matching OSU to URI: ""
Matching OUNIK to URI: "http://opencoredata/id/resource/csdco/project/ounik"
Matching OWENS to URI: "http://opencoredata/id/resource/csdco/project/owens"
Matching Olduvai to URI: ""
Matching PAL to URI: ""
Matching PALAU to URI: "http://opencoredata/id/resource/csdco/project/palau"
Matching PALEON to URI: "http://opencoredata/id/resource/csdco/project/paleon"
Matching PALSS to URI: "http://opencoredata/id/resource/csdco/project/palss"
Matching PARRIS to URI: "http://opencoredata/id/resource/csdco/project/parris"
Matching PAT to URI: "http://opencoredata/id/resource/csdco/project/pat"
Matching PATACH to URI: "http://opencoredata/id/resource/csdco/project/patach"
Matching PATTON to URI: "http://opencoredata/id/resource/csdco/project/patton"
Matching PBR to URI: "http://opencoredata/id/resource/csdco/project/pbr"
Matching PEAT to URI: "http://opencoredata/id/resource/csdco/project/peat"
Matching PEMI to URI: "http://opencoredata/id/resource/csdco/project/pemi"
Matching PENN to URI: "http://opencoredata/id/resource/csdco/project/penn"
Matching PERU to URI: "http://opencoredata/id/resource/csdco/project/peru"
Matching PERUK to URI: ""
Matching PETEN to URI: "http://opencoredata/id/resource/csdco/project/peten"
Matching PIB to URI: "http://opencoredata/id/resource/csdco/project/pib"
Matching PICEA to URI: "http://opencoredata/id/resource/csdco/project/picea"
Matching PISCO to URI: "http://opencoredata/id/resource/csdco/project/pisco"
Matching PITT to URI: "http://opencoredata/id/resource/csdco/project/pitt"
Matching PKC to URI: "http://opencoredata/id/resource/csdco/project/pkc"
Matching PLAD to URI: "http://opencoredata/id/resource/csdco/project/plad"
Matching PLJ to URI: "http://opencoredata/id/resource/csdco/project/plj"
Matching PLJL to URI: ""
Matching PLJV to URI: "http://opencoredata/id/resource/csdco/project/pljv"
Matching PLSL to URI: "http://opencoredata/id/resource/csdco/project/plsl"
