Location Name,Location Type,Project,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Lake,lake,AK,BLUE,9,A,9A,Blue Lake I06,AK-BLUE06-9A,unknown,20061231,,USA,Alaska,North Slope,"Mark Abbott, Broxton Bird",68.08632,-150.46443,1275,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,0,3.545,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,10,A,10A,,SPA-CLAU09-10A,ice,20090413,,USA,Alaska,Nome,Katey Walter,66.551611,-164.450381,24,approximate (location/coordinates identified on a map),University of Alaska Fairbanks,LacCore_MRPH,core,,,,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,1,A,1A,,SPA-CLAU09-1A,ice,20090407,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),University of Alaska Fairbanks,LacCore_MRPH,core,,0,2.55,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,1,B,1B,,SPA-CLAU09-1B,ice,20090406,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,0.753,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,1,C,1C,,SPA-CLAU09-1C,ice,20090406,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.52,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,1,D,1D,,SPA-CLAU09-1D,ice,20090408,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0.77,4.38,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,1,E,1E,,SPA-CLAU09-1E,ice,20090413,7.9,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.12,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,2,A,2A,,SPA-CLAU09-2A,ice,20090407,3.66,USA,Alaska,Nome,Katey Walter,66.552004,-164.452149,26,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.37,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,2,B,2B,,SPA-CLAU09-2B,ice,20090413,4.9,USA,Alaska,Nome,Katey Walter,66.552004,-164.452149,26,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,1,1.6,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudi,lake,SPA,CLAU,2,C,2C,,SPA-CLAU09-2C,ice,20090413,3.7,USA,Alaska,Nome,Katey Walter,66.552004,-164.452149,26,exact (read from GPS),University of Alaska Fairbanks,LacCore_MRPH,core,,1,1.25,PI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
