Below are the match results. 
Matching JUDD to URI: "http://opencoredata.org/id/csdco/project/v1/JUDD"
Matching JWR to URI: "http://opencoredata.org/id/csdco/project/v1/JWR"
Matching K2014 to URI: "http://opencoredata.org/id/csdco/project/v1/K2014"
Matching KARUPA to URI: "http://opencoredata.org/id/csdco/project/v1/KARUPA"
Matching KAUF to URI: "http://opencoredata.org/id/csdco/project/v1/KAUF"
Matching KELTS to URI: "http://opencoredata.org/id/csdco/project/v1/KELTS"
Matching KENAI to URI: "http://opencoredata.org/id/csdco/project/v1/KENAI"
Matching KKLS to URI: "http://opencoredata.org/id/csdco/project/v1/KKLS"
Matching KPW to URI: "http://opencoredata.org/id/csdco/project/v1/KPW"
Matching KUROP to URI: "http://opencoredata.org/id/csdco/project/v1/KUROP"
Matching KWRI to URI: "http://opencoredata.org/id/csdco/project/v1/KWRI"
Matching KYGS to URI: "http://opencoredata.org/id/csdco/project/v1/KYGS"
Matching KYL to URI: "http://opencoredata.org/id/csdco/project/v1/KYL"
Matching Kerfoot-Brown to URI: ""
Matching LAB to URI: "http://opencoredata.org/id/csdco/project/v1/LAB"
Matching LACSUC to URI: "http://opencoredata.org/id/csdco/project/v1/LACSUC"
Matching LAHI to URI: "http://opencoredata.org/id/csdco/project/v1/LAHI"
Matching LASCOP to URI: "http://opencoredata.org/id/csdco/project/v1/LASCOP"
Matching LAUCA to URI: "http://opencoredata.org/id/csdco/project/v1/LAUCA"
Matching LAVO to URI: "http://opencoredata.org/id/csdco/project/v1/LAVO"
Matching LBC to URI: "http://opencoredata.org/id/csdco/project/v1/LBC"
Matching LBY to URI: "http://opencoredata.org/id/csdco/project/v1/LBY"
Matching LCAN to URI: "http://opencoredata.org/id/csdco/project/v1/LCAN"
Matching LCCMR to URI: "http://opencoredata.org/id/csdco/project/v1/LCCMR"
Matching LD3 to URI: ""
Matching LDF to URI: "http://opencoredata.org/id/csdco/project/v1/LDF"
Matching LIAF to URI: ""
Matching LIBYA to URI: ""
Matching LK to URI: "http://opencoredata.org/id/csdco/project/v1/LK"
Matching LONG to URI: "http://opencoredata.org/id/csdco/project/v1/LONG"
Matching LOTC to URI: "http://opencoredata.org/id/csdco/project/v1/LOTC"
Matching LOW to URI: "http://opencoredata.org/id/csdco/project/v1/LOW"
Matching LOWP to URI: "http://opencoredata.org/id/csdco/project/v1/LOWP"
Matching LPAH to URI: "http://opencoredata.org/id/csdco/project/v1/LPAH"
Matching LPL to URI: "http://opencoredata.org/id/csdco/project/v1/LPL"
Matching LRC to URI: ""
Matching LRM to URI: "http://opencoredata.org/id/csdco/project/v1/LRM"
Matching LRM to URI: "http://opencoredata.org/id/csdco/project/v1/LRM"
Matching LSC to URI: "http://opencoredata.org/id/csdco/project/v1/LSC"
Matching LW to URI: "http://opencoredata.org/id/csdco/project/v1/LW"
Matching LYMAN to URI: "http://opencoredata.org/id/csdco/project/v1/LYMAN"
Matching LacCore to URI: ""
Matching M to URI: ""
Matching MAC to URI: "http://opencoredata.org/id/csdco/project/v1/MAC"
Matching MAINE to URI: "http://opencoredata.org/id/csdco/project/v1/MAINE"
Matching MANGO to URI: "http://opencoredata.org/id/csdco/project/v1/MANGO"
Matching MAR to URI: "http://opencoredata.org/id/csdco/project/v1/MAR"
Matching MASH to URI: "http://opencoredata.org/id/csdco/project/v1/MASH"
Matching MBC to URI: "http://opencoredata.org/id/csdco/project/v1/MBC"
Matching MBGLH to URI: "http://opencoredata.org/id/csdco/project/v1/MBGLH"
Matching MBH to URI: ""
Matching MBM to URI: "http://opencoredata.org/id/csdco/project/v1/MBM"
Matching MCH to URI: "http://opencoredata.org/id/csdco/project/v1/MCH"
Matching MCWD to URI: "http://opencoredata.org/id/csdco/project/v1/MCWD"
Matching MESWF to URI: "http://opencoredata.org/id/csdco/project/v1/MESWF"
Matching MEXI to URI: "http://opencoredata.org/id/csdco/project/v1/MEXI"
Matching MF to URI: "http://opencoredata.org/id/csdco/project/v1/MF"
Matching MGS to URI: "http://opencoredata.org/id/csdco/project/v1/MGS"
Matching MIDS to URI: ""
Matching MISSC to URI: "http://opencoredata.org/id/csdco/project/v1/MISSC"
Matching MIVS to URI: "http://opencoredata.org/id/csdco/project/v1/MIVS"
Matching MKP to URI: "http://opencoredata.org/id/csdco/project/v1/MKP"
Matching MNCL to URI: "http://opencoredata.org/id/csdco/project/v1/MNCL"
Matching MNMN to URI: "http://opencoredata.org/id/csdco/project/v1/MNMN"
Matching MNRF to URI: "http://opencoredata.org/id/csdco/project/v1/MNRF"
Matching MNVS to URI: "http://opencoredata.org/id/csdco/project/v1/MNVS"
Matching MNWET to URI: "http://opencoredata.org/id/csdco/project/v1/MNWET"
Matching MOLE to URI: "http://opencoredata.org/id/csdco/project/v1/MOLE"
Matching MOMOS to URI: "http://opencoredata.org/id/csdco/project/v1/MOMOS"
Matching MONT to URI: "http://opencoredata.org/id/csdco/project/v1/MONT"
Matching MS to URI: ""
Matching MS to URI: ""
Matching MSOCache to URI: ""
Matching MSPI to URI: "http://opencoredata.org/id/csdco/project/v1/MSPI"
Matching MST to URI: "http://opencoredata.org/id/csdco/project/v1/MST"
Matching MTC to URI: "http://opencoredata.org/id/csdco/project/v1/MTC"
Matching MUROP to URI: ""
Matching MURP to URI: "http://opencoredata.org/id/csdco/project/v1/MURP"
Matching MWL(Midwest to URI: ""
Matching Matano to URI: ""
Matching McFarland to URI: ""
Matching NAPALM to URI: "http://opencoredata.org/id/csdco/project/v1/NAPALM"
Matching ND11(Lake to URI: ""
